Size, Seed, Level, Seq, Par, Libc
100000, 97874983, 4, 0.017740, 0.006151, 0.017933
1000, 10849390, 2, 0.000107, 0.000313, 0.000140
1000, 40763310, 8, 0.000111, 0.004058, 0.000122
100, 6929674, 8, 0.000008, 0.002195, 0.000020
10000, 45525493, 2, 0.001367, 0.001021, 0.001592
10000, 5990575, 4, 0.001480, 0.001049, 0.001503
100000, 97874983, 8, 0.017638, 0.012428, 0.017987
1000000, 44053124, 4, 0.224317, 0.074188, 0.223616
1000000, 66034221, 2, 0.215976, 0.116855, 0.224006
100, 39449314, 4, 0.000009, 0.000622, 0.000011
100000, 66797791, 4, 0.020619, 0.005696, 0.018520
10000, 32890574, 6, 0.001342, 0.002218, 0.001436
100, 85407608, 6, 0.000008, 0.001448, 0.000012
100000, 81685261, 10, 0.019267, 0.067434, 0.019657
1000, 52739488, 8, 0.000114, 0.008413, 0.000120
100, 45256470, 2, 0.000010, 0.000217, 0.000012
1000000, 70362538, 2, 0.223885, 0.129000, 0.237472
10000, 75243821, 10, 0.001392, 0.047411, 0.001485
10000, 99526147, 2, 0.001537, 0.000917, 0.001645
100, 19520387, 2, 0.000008, 0.000237, 0.000014
1000000, 34438526, 6, 0.229715, 0.064269, 0.241563
1000, 68787479, 10, 0.000109, 0.019548, 0.000119
100000, 15582592, 6, 0.019248, 0.006019, 0.019193
1000, 54037029, 2, 0.000106, 0.000298, 0.000122
10000, 56490710, 8, 0.001942, 0.010019, 0.001577
100000, 20262078, 6, 0.019096, 0.007072, 0.019161
100000, 19067372, 10, 0.019159, 0.067850, 0.021456
100000, 30211849, 2, 0.023389, 0.012555, 0.018482
1000, 73115446, 6, 0.000109, 0.001682, 0.000124
100, 25209990, 10, 0.000009, 0.001917, 0.000011
100, 93350743, 8, 0.000009, 0.002139, 0.000011
1000000, 42859845, 2, 0.238457, 0.148923, 0.235034
1000000, 13720830, 8, 0.228850, 0.075939, 0.237184
1000000, 35813594, 10, 0.228887, 0.081691, 0.245340
10000, 67599709, 8, 0.001496, 0.008862, 0.001495
100, 25209990, 2, 0.000009, 0.000191, 0.000012
1000, 52739488, 4, 0.000120, 0.000561, 0.000122
100000, 81685261, 4, 0.018215, 0.006418, 0.018686
100, 3171073, 4, 0.000009, 0.000504, 0.000012
100000, 91748771, 8, 0.018801, 0.011365, 0.018510
1000, 81967033, 8, 0.000131, 0.005361, 0.000134
1000000, 23236069, 6, 0.229133, 0.123123, 0.236475
100, 71842339, 2, 0.000007, 0.000234, 0.000012
100000, 64442335, 8, 0.018506, 0.010516, 0.018648
