Size, Seq, Par, Libc
58789, 0.009851, 0.064294, 0.010234
874387, 0.178877, 0.072650, 0.189530
968298, 0.206700, 0.077494, 0.217554
445591, 0.090569, 0.074345, 0.093077
829006, 0.168883, 0.074582, 0.175417
770830, 0.159411, 0.089586, 0.172404
341884, 0.065323, 0.061408, 0.071111
493221, 0.102869, 0.069982, 0.105955
448218, 0.088220, 0.075046, 0.095774
885159, 0.180360, 0.067811, 0.191787
653101, 0.134161, 0.092917, 0.137205
215806, 0.040005, 0.062546, 0.042304
903311, 0.195270, 0.081468, 0.196603
443732, 0.087352, 0.063946, 0.091437
409325, 0.081412, 0.070615, 0.085262
589250, 0.120392, 0.092648, 0.129290
750265, 0.157167, 0.089731, 0.160118
192936, 0.036081, 0.055840, 0.037496
803013, 0.176015, 0.084303, 0.177647
102041, 0.018298, 0.062245, 0.019017
52887, 0.008816, 0.064677, 0.009321
816841, 0.169569, 0.075513, 0.174854
531455, 0.105382, 0.068036, 0.111681
237664, 0.046259, 0.084461, 0.048022
866128, 0.186029, 0.095614, 0.192656
279870, 0.053801, 0.071928, 0.060235
196695, 0.037040, 0.085426, 0.038798
134492, 0.028583, 0.070228, 0.030436
148809, 0.031759, 0.079047, 0.030234
585794, 0.129723, 0.074957, 0.142873
961721, 0.216227, 0.093290, 0.211112
507707, 0.099963, 0.088709, 0.106054
308995, 0.058526, 0.069901, 0.064077
857089, 0.186807, 0.147884, 0.195309
510668, 0.104260, 0.094938, 0.113906
757179, 0.178312, 0.091497, 0.166769
445619, 0.090216, 0.079347, 0.097726
711389, 0.154438, 0.062997, 0.152567
191561, 0.036550, 0.070360, 0.039023
603397, 0.129494, 0.071731, 0.137468
738637, 0.148868, 0.080096, 0.161596
938021, 0.196832, 0.079501, 0.201758
944483, 0.190950, 0.080608, 0.208843
38358, 0.006781, 0.072343, 0.006427
905354, 0.189187, 0.072756, 0.194854
147668, 0.026545, 0.079231, 0.028520
409843, 0.082776, 0.089750, 0.090643
718654, 0.151222, 0.070752, 0.163656
978464, 0.200217, 0.081674, 0.210581
117808, 0.020823, 0.048411, 0.021775
331974, 0.064334, 0.067662, 0.071400
600855, 0.122357, 0.071589, 0.125995
710744, 0.150407, 0.080103, 0.150398
830538, 0.178255, 0.085141, 0.189311
521534, 0.105373, 0.069776, 0.124521
205784, 0.038192, 0.060460, 0.043995
128261, 0.025471, 0.073884, 0.024101
980028, 0.201660, 0.080867, 0.217641
16590, 0.002486, 0.035024, 0.002574
950838, 0.199769, 0.088004, 0.202497
463565, 0.090572, 0.082140, 0.097167
946185, 0.208424, 0.137130, 0.977382
695255, 0.678397, 0.080496, 0.523669
467842, 0.114959, 0.065618, 0.137082
221317, 0.043097, 0.064679, 0.105777
267666, 0.071936, 0.074338, 0.072295
846300, 0.222122, 0.095223, 0.705384
61206, 0.015261, 0.041212, 0.014674
717011, 0.224827, 0.069814, 0.196143
553343, 0.117668, 0.065537, 0.127718
536558, 0.105761, 0.072990, 0.109852
896046, 0.184057, 0.076898, 0.193902
276195, 0.052171, 0.051471, 0.055317
189988, 0.035320, 0.057066, 0.035896
173725, 0.031323, 0.059315, 0.032359
424481, 0.080431, 0.066457, 0.085931
487010, 0.095810, 0.069194, 0.101291
275768, 0.054076, 0.091072, 0.054071
242925, 0.045026, 0.052037, 0.049535
6317, 0.000843, 0.033674, 0.000888
313856, 0.060961, 0.056328, 0.062948
105213, 0.018798, 0.558566, 0.019509
994730, 0.209235, 0.082829, 0.211951
191425, 0.034485, 0.070228, 0.039904
280940, 0.053608, 0.058580, 0.054539
598845, 0.116913, 0.072703, 0.123052
600006, 0.120019, 0.076708, 0.125299
52996, 0.008536, 0.060497, 0.009417
37021, 0.006006, 0.058632, 0.006247
833518, 0.177709, 0.066157, 0.187693
793509, 0.168521, 0.082975, 0.166193
745761, 0.159305, 0.078149, 0.168070
538232, 0.107345, 0.062386, 0.118527
715107, 0.149880, 0.082005, 0.159591
126792, 0.022628, 0.087182, 0.025679
472745, 0.093435, 0.060215, 0.102356
772334, 0.163418, 0.092315, 0.173749
49377, 0.008142, 0.055433, 0.008557
